                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2758,                 1.5544,                 1.1485,                0.20761,                 0.4565,                0.22883,                0.12737,                 1.5984,                 2.3041,                 1.3771,              0.0010693,              0.0010693,              0.0010693
                     76,                 1.2974,                 1.6291,                 1.1553,                0.25028,                0.35661,                0.22677,                0.12814,                 1.5466,                 2.4813,                 1.3524,              0.0010669,              0.0010669,              0.0010669
                     77,                 1.2746,                 1.5574,                 1.1514,                 0.2644,                0.31002,                0.21319,                0.11734,                 1.5687,                 2.3607,                 1.3702,              0.0010644,              0.0010644,              0.0010644
                     78,                 1.2527,                  1.555,                 1.1408,                0.24843,                0.37139,                0.22382,                0.11506,                 1.5964,                 2.2064,                 1.3945,              0.0010619,              0.0010619,              0.0010619
                     79,                 1.2816,                 1.5658,                 1.1542,                0.23814,                 0.3524,                0.23911,                0.13064,                 1.5217,                 2.2302,                 1.3348,              0.0010594,              0.0010594,              0.0010594
                     80,                 1.2743,                 1.5528,                 1.1516,                0.24228,                0.44217,                0.25483,                0.14013,                 1.5678,                 2.4309,                 1.3592,               0.001057,               0.001057,               0.001057
                     81,                 1.2867,                 1.5716,                 1.1594,                0.24662,                 0.3398,                 0.2385,                0.13547,                 1.5573,                 2.5665,                 1.3707,              0.0010545,              0.0010545,              0.0010545
                     82,                 1.2993,                 1.5427,                 1.1443,                0.23968,                0.39035,                0.23691,                0.12551,                 1.5786,                 2.4723,                 1.3655,               0.001052,               0.001052,               0.001052
                     83,                 1.2528,                 1.5237,                 1.1371,                 0.2488,                0.44178,                0.27133,                0.15333,                 1.5171,                  2.185,                 1.3132,              0.0010495,              0.0010495,              0.0010495
                     84,                 1.2718,                 1.4966,                 1.1511,                0.23579,                0.34743,                 0.2191,                0.11624,                  1.565,                 2.6079,                  1.368,               0.001047,               0.001047,               0.001047
                     85,                 1.2753,                 1.5213,                 1.1576,                0.24568,                0.37984,                0.24578,                0.13866,                 1.5264,                 2.2835,                 1.3476,              0.0010446,              0.0010446,              0.0010446
                     86,                 1.2719,                 1.5228,                 1.1522,                 0.2452,                  0.415,                 0.2577,                0.14397,                 1.5282,                 2.2561,                 1.3392,              0.0010421,              0.0010421,              0.0010421
                     87,                 1.2759,                 1.4971,                 1.1559,                0.23575,                0.39508,                0.27195,                0.16088,                 1.5441,                 2.1756,                 1.3298,              0.0010396,              0.0010396,              0.0010396
                     88,                 1.2255,                 1.4508,                 1.1327,                0.24205,                0.36401,                0.25415,                0.14353,                 1.5501,                 2.4006,                 1.3511,              0.0010372,              0.0010372,              0.0010372
                     89,                 1.2398,                 1.4697,                 1.1216,                0.25353,                 0.4004,                0.23259,                   0.13,                 1.5264,                 2.6048,                 1.3365,              0.0010347,              0.0010347,              0.0010347
                     90,                 1.2445,                 1.4721,                 1.1261,                0.27885,                0.35773,                0.24158,                0.12981,                 1.5393,                 2.6981,                 1.3527,              0.0010322,              0.0010322,              0.0010322
                     91,                 1.2589,                 1.4947,                 1.1359,                0.27815,                0.37743,                0.25173,                0.13438,                 1.5533,                 2.3724,                 1.3551,              0.0010297,              0.0010297,              0.0010297
                     92,                 1.2672,                 1.5058,                 1.1398,                0.26552,                0.34565,                0.24059,                  0.132,                 1.5751,                 2.2736,                 1.3722,              0.0010273,              0.0010273,              0.0010273
                     93,                 1.2638,                 1.4383,                 1.1451,                0.27632,                0.35512,                0.23137,                0.12106,                 1.6402,                 2.3944,                 1.4181,              0.0010248,              0.0010248,              0.0010248
                     94,                 1.2671,                 1.4732,                 1.1432,                0.25194,                0.41932,                0.25343,                0.14444,                 1.5976,                 2.1942,                 1.3656,              0.0010223,              0.0010223,              0.0010223
                     95,                 1.2117,                 1.4339,                 1.1123,                0.28502,                0.37648,                0.24963,                0.13936,                 1.6075,                  2.482,                 1.3747,              0.0010198,              0.0010198,              0.0010198
                     96,                 1.2758,                 1.4689,                 1.1493,                0.24562,                0.42221,                0.23807,                0.13276,                 1.5886,                 2.4227,                 1.3688,              0.0010173,              0.0010173,              0.0010173
                     97,                 1.2592,                 1.4807,                 1.1497,                0.25951,                0.39415,                0.25401,                0.14277,                 1.5488,                 2.5895,                 1.3635,              0.0010149,              0.0010149,              0.0010149
                     98,                 1.2495,                 1.4774,                 1.1298,                0.25587,                0.39484,                0.23911,                0.13434,                 1.5842,                 2.4979,                 1.3599,              0.0010124,              0.0010124,              0.0010124
                     99,                 1.2044,                 1.4735,                 1.1183,                0.22231,                0.35173,                0.19595,                0.10414,                 1.6168,                 2.5946,                 1.3943,              0.0010099,              0.0010099,              0.0010099
                    100,                 1.2109,                 1.4113,                 1.1038,                0.31864,                0.30488,                0.24102,                0.13705,                 1.5979,                 2.4365,                 1.3946,              0.0010075,              0.0010075,              0.0010075
                    101,                 1.2402,                 1.4119,                 1.1178,                0.30525,                0.34702,                0.24722,                0.13753,                 1.5864,                 2.3633,                 1.3778,               0.001005,               0.001005,               0.001005
                    102,                 1.2333,                  1.486,                 1.1388,                0.23809,                0.39826,                0.24703,                0.13776,                 1.5577,                  2.431,                 1.3679,              0.0010025,              0.0010025,              0.0010025
                    103,                 1.2071,                 1.4163,                 1.1366,                 0.2124,                0.39795,                 0.2389,                0.12997,                 1.5576,                 2.4029,                 1.3638,                  0.001,                  0.001,                  0.001
                    104,                 1.2329,                 1.4158,                 1.1204,                0.23369,                0.37093,                0.22081,                  0.118,                 1.5693,                 2.4289,                 1.3424,             0.00099755,             0.00099755,             0.00099755
                    105,                 1.2312,                 1.3648,                 1.1032,                0.21537,                0.38696,                0.22757,                0.12584,                 1.5802,                 2.5282,                 1.3516,             0.00099507,             0.00099507,             0.00099507
                    106,                 1.2731,                 1.4198,                 1.1387,                0.23481,                0.35099,                0.22124,                0.11779,                 1.5921,                 2.4644,                 1.3612,              0.0009926,              0.0009926,              0.0009926
                    107,                 1.2596,                 1.4543,                 1.1242,                 0.2245,                0.39637,                0.23438,                0.13098,                 1.5553,                 2.3668,                 1.3519,             0.00099013,             0.00099013,             0.00099013
                    108,                 1.2519,                 1.4647,                 1.1327,                0.27437,                0.35856,                0.22464,                0.11661,                 1.5945,                   2.41,                 1.4115,             0.00098765,             0.00098765,             0.00098765
                    109,                  1.234,                 1.3664,                 1.1161,                0.25327,                0.37161,                0.22288,                0.11998,                 1.5782,                 2.3815,                 1.3738,             0.00098518,             0.00098518,             0.00098518
                    110,                  1.197,                  1.347,                 1.1047,                0.21683,                0.35676,                 0.2095,                0.11594,                 1.5519,                  2.285,                 1.3578,              0.0009827,              0.0009827,              0.0009827
                    111,                 1.2253,                 1.3473,                 1.1194,                0.18979,                0.39283,                0.20348,                0.11058,                 1.5381,                 2.4587,                 1.3563,             0.00098022,             0.00098022,             0.00098022
                    112,                  1.238,                  1.393,                  1.133,                 0.2319,                0.39196,                0.23418,                0.12457,                 1.5509,                 2.7283,                 1.3611,             0.00097775,             0.00097775,             0.00097775
                    113,                 1.2134,                 1.3869,                  1.125,                0.19681,                 0.4279,                0.22768,                0.12206,                  1.577,                 2.4535,                 1.3593,             0.00097528,             0.00097528,             0.00097528
                    114,                 1.1882,                 1.3389,                  1.111,                0.23591,                0.42627,                0.24382,                0.13672,                 1.5528,                 2.1968,                  1.331,              0.0009728,              0.0009728,              0.0009728
                    115,                 1.1967,                 1.3313,                 1.1123,                0.24384,                0.43966,                0.24446,                 0.1355,                 1.5468,                 2.2492,                 1.3317,             0.00097033,             0.00097033,             0.00097033
                    116,                  1.178,                 1.3636,                 1.0983,                0.19241,                0.35922,                0.19172,                0.10097,                 1.5844,                 2.6306,                 1.3842,             0.00096785,             0.00096785,             0.00096785
                    117,                 1.2093,                 1.3955,                 1.1177,                0.23038,                0.32132,                0.20157,                0.11058,                 1.5684,                 2.5184,                 1.3655,             0.00096537,             0.00096537,             0.00096537
                    118,                  1.215,                  1.333,                 1.1091,                0.19784,                0.38353,                0.21598,                0.11268,                  1.614,                 2.3269,                 1.4063,              0.0009629,              0.0009629,              0.0009629
